"id","eventid","source","displaypath","priority","eventtype","eventflags","eventtime"
5967369,b791525d-1044-4fb0-8a4a-61f3d1176bd0,prov:default:/tag:L2/Riantics/GantrySystem2_Alarm/LPF1_082:/alm:Alarm,GantrySystem2_AlarmLPF1_082,3,1,16,2024-05-22 14:31:20.477
5967368,b332f29a-32e2-48ee-b421-eda6339d4c04,prov:default:/tag:L2/Riantics/GantrySystem2_Alarm/LPF1_074:/alm:Alarm,GantrySystem2_AlarmLPF1_074,3,1,16,2024-05-22 14:31:19.473
5967367,ff74af65-8244-40f7-b58e-374aab704e0d,prov:default:/tag:L2/Riantics/GantrySystem2_Alarm/LPF1_070:/alm:Alarm,GantrySystem2_AlarmLPF1_070,3,1,16,2024-05-22 14:31:18.470
5967365,bdbef7ed-3cdf-42d6-b968-a3ece96bb31c,prov:default:/tag:L2/Riantics/GantrySystem2_Alarm/LPF1_082:/alm:Alarm,GantrySystem2_AlarmLPF1_082,3,2,20,2024-05-22 14:31:17.470
5967366,b791525d-1044-4fb0-8a4a-61f3d1176bd0,prov:default:/tag:L2/Riantics/GantrySystem2_Alarm/LPF1_082:/alm:Alarm,GantrySystem2_AlarmLPF1_082,3,0,0,2024-05-22 14:31:17.470
5967364,ce55d889-9d96-4aa0-912c-0a8cee6e71b5,prov:default:/tag:L2/Monorail/Trolley_14/gastTrolley_ErXX_destinationFault:/alm:Alarm,Trolley 14 Error ,3,1,16,2024-05-22 14:31:15.467
5967362,"5b29bd25-96df-4bbe-9a55-b9474d3fec96",prov:default:/tag:L2/Monorail/Trolley_14/gastTrolley_ErXX_destinationFault:/alm:Alarm,Trolley 14 Error ,3,2,20,2024-05-22 14:31:13.463
5967363,ce55d889-9d96-4aa0-912c-0a8cee6e71b5,prov:default:/tag:L2/Monorail/Trolley_14/gastTrolley_ErXX_destinationFault:/alm:Alarm,Trolley 14 Error ,3,0,0,2024-05-22 14:31:13.463
5967361,d4df2edb-7154-498d-93db-cbd31a3a5af2,prov:default:/tag:L2/Monorail/Trolley_9/gastTrolley_ErXX_destinationFault:/alm:Alarm,Trolley 9 Error ,3,1,16,2024-05-22 14:31:11.960
5967360,e10f6f21-28ec-427f-b083-58fabaad22ee,prov:default:/tag:L2/Riantics/GantrySystem2_Alarm/LPF1_081:/alm:Alarm,GantrySystem2_AlarmLPF1_081,3,1,16,2024-05-22 14:31:11.460
